alter,automarke,modell,preis,geschlecht
28,Opel,Corsa,22292,Weiblich
55,Volkswagen,Arteon,47701,Männlich
63,Hyundai,i10,37228,Weiblich
63,Tesla,Model Y,46071,Männlich
51,BMW Motorrad,F900R,18690,Männlich
44,Land Rover,Discovery,84269,Weiblich
68,Toyota,Corolla,39879,Weiblich
19,Renault,Kadjar,5998,Weiblich
44,Hyundai,Kona,22112,Männlich
64,Skoda,Superb,21928,Männlich
51,Volkswagen,Polo,20992,Männlich
73,Alfa Romeo,MiTo,63983,Weiblich
68,Opel,Insignia,26280,Männlich
23,Honda,CR-V,33437,Männlich
39,Mitsubishi,L200,21690,Weiblich
51,Peugeot,Partner,9353,Männlich
29,Opel,Mokka,23539,Weiblich
39,Mitsubishi,L200,37898,Weiblich
17,Tesla,Model X,60355,Männlich
58,Nissan,Leaf,30405,Männlich
30,Toyota,Yaris,54078,Männlich
33,Jeep,Cherokee,59450,Weiblich
18,Mazda,Mazda3,15335,Weiblich
31,Tesla,Model Y,75598,Männlich
79,Ford,Fiesta,33199,Männlich
69,Volvo,XC40,62127,Weiblich
50,Land Rover,Defender,75610,Männlich
80,Skoda,Kamiq,12030,Männlich
71,Peugeot,3008,24685,Weiblich
67,Audi,Q8,85663,Männlich
18,Land Rover,Evoque,48539,Männlich
19,BMW Motorrad,F900R,23445,Männlich
64,Peugeot,508,14109,Männlich
72,Hyundai,i30,12179,Männlich
18,Renault,Clio,19194,Männlich
32,Ford,Mondeo,11058,Weiblich
25,Tesla,Model Y,56092,Weiblich
54,Nissan,Micra,16399,Weiblich
41,Toyota,Corolla,33235,Weiblich
33,Volvo,XC90,71320,Weiblich
48,Mercedes,GLS,129411,Männlich
52,Hyundai,Santa Fe,28725,Weiblich
43,Mitsubishi,Space Star,16526,Männlich
62,Honda,HR-V,25755,Weiblich
42,Honda,Jazz,16032,Weiblich
55,Mitsubishi,ASX,7488,Männlich
78,Volvo,S60,79326,Männlich
58,Mercedes,GLS,107312,Männlich
41,Honda,Accord,29245,Männlich
80,Volkswagen,Polo,12961,Weiblich
29,Citroen,C5 Aircross,6169,Männlich
57,Renault,Clio,18375,Männlich
66,Peugeot,Partner,15423,Weiblich
29,Renault,Talisman,14392,Männlich
62,Mazda,Mazda6,23182,Männlich
28,Ford,Focus,34792,Männlich
57,Skoda,Kodiaq,14111,Männlich
62,Alfa Romeo,Giulia,43271,Männlich
41,Audi,A3,29969,Weiblich
48,Skoda,Scala,27059,Männlich
70,Peugeot,5008,24660,Weiblich
19,Alfa Romeo,Stelvio,77974,Weiblich
40,Mazda,Mazda3,37021,Weiblich
20,Audi,A5,64902,Männlich
60,Tesla,Model X,42816,Männlich
62,Skoda,Superb,11771,Weiblich
72,Toyota,Corolla,49103,Männlich
75,Citroen,C3,30389,Weiblich
66,Honda,Civic,31514,Männlich
51,Ford,Edge,13588,Weiblich
43,BMW Motorrad,R1250GS,21215,Männlich
17,Tesla,Model S,48363,Männlich
41,Volvo,XC60,43848,Weiblich
25,BMW,1er,30961,Weiblich
54,Peugeot,3008,20201,Männlich
56,Land Rover,Range Rover,68183,Männlich
45,Nissan,Navara,35240,Weiblich
67,BMW,2er,95104,Weiblich
77,Hyundai,Nexo,19234,Weiblich
63,Ford,Kuga,10240,Weiblich
68,Subaru,XV,31090,Männlich
67,Kia,Ceed,44783,Weiblich
40,Porsche,Macan,151909,Weiblich
18,BMW Motorrad,R1250GS,17113,Männlich
16,Mazda,Mazda6,22976,Männlich
42,Hyundai,i10,21629,Männlich
20,Mitsubishi,ASX,28845,Männlich
49,Mazda,CX-5,17849,Weiblich
33,Volkswagen,Sharan,47237,Männlich
40,Jeep,Grand Cherokee,33547,Weiblich
47,Renault,Clio,22542,Männlich
26,Land Rover,Defender,60319,Männlich
61,Tesla,Model S,28446,Weiblich
27,Renault,Kadjar,31211,Weiblich
76,Citroen,C3,10812,Männlich
45,Skoda,Octavia,36303,Männlich
69,BMW,Z4,20874,Männlich
20,Mazda,Mazda2,37741,Männlich
58,BMW Motorrad,R1250GS,19937,Weiblich
50,Skoda,Kamiq,17568,Weiblich
26,Kia,Rio,18737,Weiblich
20,BMW Motorrad,S1000RR,16909,Weiblich
73,Alfa Romeo,MiTo,59060,Weiblich
65,Renault,Megane,5695,Weiblich
39,Kia,Niro,24056,Weiblich
26,Kia,Niro,34312,Weiblich
52,Citroen,C4,29266,Weiblich
49,Mercedes,GLS,141430,Weiblich
65,Ford,Focus,35293,Männlich
22,Alfa Romeo,Giulietta,55686,Weiblich
44,Land Rover,Defender,108552,Weiblich
39,Alfa Romeo,MiTo,72123,Weiblich
75,Toyota,Land Cruiser,41636,Weiblich
67,Mercedes,GLE,87356,Männlich
76,Volvo,XC60,34909,Männlich
21,Tesla,Model 3,79857,Weiblich
52,Audi,Q7,40335,Weiblich
69,Volvo,S60,57761,Weiblich
60,Porsche,Panamera,170954,Weiblich
75,Porsche,Panamera,77957,Männlich
52,Nissan,Leaf,27157,Männlich
47,Peugeot,Partner,19414,Männlich
76,Tesla,Model S,31614,Männlich
28,Toyota,RAV4,24490,Männlich
54,Audi,Q7,26218,Männlich
52,Tesla,Model 3,26683,Männlich
71,Peugeot,Partner,22563,Männlich
33,Mercedes,A-Klasse,106412,Männlich
23,Hyundai,i30,10423,Weiblich
67,Honda,Accord,28773,Weiblich
52,Audi,A6,98483,Weiblich
59,Jeep,Renegade,52530,Weiblich
48,BMW,2er,105271,Weiblich
42,Nissan,Navara,18366,Männlich
72,Subaru,Outback,35087,Weiblich
70,Mazda,CX-5,31545,Männlich
38,Opel,Corsa,12550,Weiblich
65,Mitsubishi,ASX,12464,Männlich
35,Kia,Niro,22428,Männlich
29,Toyota,RAV4,20967,Weiblich
67,Volkswagen,Touareg,68949,Weiblich
57,Toyota,Yaris,54425,Weiblich
74,Honda,HR-V,11212,Männlich
38,Alfa Romeo,Giulietta,34697,Männlich
66,Audi,A5,56036,Männlich
42,Ford,Kuga,18720,Weiblich
22,Volkswagen,Arteon,44135,Weiblich
31,BMW,i3,112094,Männlich
37,Toyota,C-HR,16779,Männlich
38,Mazda,Mazda2,21247,Männlich
38,Audi,A4,80519,Männlich
47,Nissan,X-Trail,29079,Weiblich
80,Ford,Edge,11609,Weiblich
40,Kia,Seltos,29680,Männlich
59,Mazda,Mazda3,36055,Weiblich
44,Jeep,Compass,19734,Weiblich
71,Porsche,Cayenne,98867,Weiblich
68,Kia,Niro,24857,Männlich
66,BMW Motorrad,S1000RR,6118,Weiblich
24,Opel,Grandland,15213,Männlich
35,Ford,Fiesta,29429,Weiblich
68,Alfa Romeo,Giulietta,67646,Weiblich
29,BMW Motorrad,F900R,19536,Weiblich
65,BMW,X5,19562,Weiblich
69,Toyota,RAV4,45168,Männlich
68,Porsche,Cayenne,131336,Männlich
32,Hyundai,Tucson,30655,Männlich
76,Kia,Stonic,38127,Männlich
18,Tesla,Model S,61604,Weiblich
57,Tesla,Model 3,72132,Männlich
71,Tesla,Model X,30028,Männlich
78,Audi,Q8,47730,Männlich
41,Ford,Fiesta,39610,Männlich
78,Ford,Kuga,27851,Weiblich
52,Volvo,XC60,64777,Männlich
18,Skoda,Octavia,41564,Männlich
70,Hyundai,i30,16868,Männlich
64,Tesla,Model S,76511,Weiblich
49,Renault,Talisman,18298,Weiblich
31,Skoda,Kamiq,41654,Männlich
60,Land Rover,Range Rover,101013,Weiblich
15,Subaru,Outback,42025,Weiblich
35,Honda,CR-V,34481,Weiblich
37,Hyundai,i20,41030,Weiblich
79,Hyundai,Kona,30295,Männlich
42,Skoda,Fabia,31845,Männlich
34,Citroen,C3,16158,Weiblich
60,Audi,TT,75109,Weiblich
45,Peugeot,Partner,11976,Männlich
61,Kia,Seltos,16513,Weiblich
60,Mercedes,GLC,62907,Weiblich
30,Skoda,Octavia,18122,Männlich
64,Opel,Zafira,24073,Weiblich
43,Jeep,Grand Cherokee,46997,Männlich
50,Mitsubishi,ASX,23250,Weiblich
48,Renault,Captur,8595,Weiblich
57,Mitsubishi,Space Star,33575,Männlich
34,Porsche,Macan,80105,Weiblich
37,Honda,Jazz,32497,Weiblich
19,Subaru,XV,25168,Männlich
25,Ford,Kuga,36511,Männlich
73,Nissan,Qashqai,24952,Weiblich
68,Alfa Romeo,Stelvio,79478,Weiblich
47,Mitsubishi,ASX,17005,Männlich
44,Audi,Q5,51580,Weiblich
23,Audi,A1,57459,Männlich
32,Volvo,XC60,63756,Männlich
23,Land Rover,Range Rover,70122,Weiblich
76,BMW Motorrad,R1250GS,10898,Männlich
59,Alfa Romeo,MiTo,15413,Männlich
52,Opel,Insignia,26336,Männlich
58,Citroen,C5 Aircross,34901,Männlich
47,Porsche,911,126496,Männlich
40,Nissan,Juke,14232,Weiblich
74,Mazda,CX-5,12802,Männlich
64,Jeep,Grand Cherokee,42323,Weiblich
27,Subaru,Outback,41739,Weiblich
15,Opel,Astra,21364,Männlich
38,Porsche,Panamera,119103,Männlich
32,Mazda,Mazda6,18728,Männlich
55,Skoda,Kodiaq,27024,Weiblich
56,Hyundai,i30,17162,Weiblich
74,Land Rover,Range Rover,30530,Weiblich
16,BMW,4er,40545,Weiblich
63,Kia,Seltos,10015,Männlich
18,Honda,HR-V,22321,Weiblich
17,Volkswagen,ID.4,36403,Weiblich
39,Mitsubishi,L200,15808,Weiblich
47,Opel,Corsa,22143,Weiblich
39,Mitsubishi,ASX,27894,Weiblich
71,Nissan,Navara,44076,Weiblich
28,BMW Motorrad,R1250GS,7223,Männlich
55,BMW,X6,45167,Weiblich
27,Opel,Grandland,14698,Männlich
36,Porsche,Macan,133234,Weiblich
74,Honda,HR-V,22509,Weiblich
50,Tesla,Model Y,41027,Weiblich
62,Alfa Romeo,Giulia,78485,Männlich
37,BMW Motorrad,S1000RR,16513,Weiblich
76,Peugeot,308,7892,Männlich
41,Mitsubishi,Outlander,36523,Männlich
43,Alfa Romeo,MiTo,16053,Weiblich
28,Nissan,Navara,38664,Männlich
22,Nissan,Leaf,46900,Männlich
37,Mitsubishi,L200,35938,Weiblich
76,Subaru,Forester,16944,Männlich
62,Porsche,Taycan,98653,Weiblich
42,Mitsubishi,Outlander,14697,Weiblich
58,Nissan,Micra,23197,Weiblich
21,Mazda,CX-5,13896,Weiblich
62,Jeep,Compass,23535,Männlich
71,BMW Motorrad,R1250GS,14087,Männlich
47,Honda,Accord,13140,Weiblich
39,Porsche,911,163295,Männlich
56,Volkswagen,Tiguan,35651,Weiblich
68,Mazda,Mazda3,14698,Männlich
53,Hyundai,i30,32971,Weiblich
27,Mazda,Mazda6,20880,Männlich
26,Volvo,XC90,29498,Männlich
67,Audi,A6,44950,Weiblich
19,Mazda,Mazda6,28447,Weiblich
79,Peugeot,3008,25532,Weiblich
55,Ford,Focus,23071,Männlich
72,Tesla,Model Y,48866,Weiblich
39,BMW Motorrad,F900R,6787,Männlich
45,Mazda,Mazda6,20716,Weiblich
47,Jeep,Compass,18220,Männlich
66,Renault,Captur,25601,Weiblich
44,Porsche,911,102969,Männlich
50,BMW Motorrad,S1000RR,22683,Weiblich
56,Tesla,Model X,50731,Männlich
40,Mitsubishi,L200,32215,Weiblich
42,Subaru,Forester,39303,Weiblich
34,Citroen,C3 Aircross,26591,Weiblich
42,Hyundai,Santa Fe,17083,Weiblich
22,Citroen,C5 Aircross,34074,Männlich
39,Volvo,XC90,15079,Weiblich
15,Mitsubishi,Outlander,9044,Männlich
39,Land Rover,Range Rover,78831,Weiblich
38,Skoda,Octavia,19724,Männlich
68,Jeep,Grand Cherokee,57217,Weiblich
52,Opel,Mokka,8552,Weiblich
23,Audi,Q5,107661,Männlich
67,Mazda,Mazda3,25300,Männlich
15,Ford,Focus,33853,Weiblich
49,Jeep,Renegade,57196,Männlich
17,BMW,4er,102126,Männlich
64,Land Rover,Range Rover,72788,Weiblich
27,BMW Motorrad,R1200GS,6383,Weiblich
37,Hyundai,Kona,26561,Weiblich
49,Mazda,Mazda6,33207,Weiblich
26,Land Rover,Defender,27197,Männlich
61,Tesla,Model S,71007,Männlich
29,BMW,5er,114207,Männlich
24,Mazda,CX-5,21965,Männlich
69,Mitsubishi,Outlander,8408,Weiblich
60,Jeep,Renegade,46802,Männlich
45,Alfa Romeo,Giulia,51885,Männlich
59,Mazda,Mazda2,33863,Männlich
56,Skoda,Octavia,30063,Weiblich
35,Citroen,C5 Aircross,6005,Männlich
38,Ford,Mondeo,8492,Weiblich
23,BMW Motorrad,R1250GS,13680,Männlich
57,Mercedes,GLA,80893,Weiblich
34,Alfa Romeo,Giulietta,71191,Weiblich
62,Renault,Koleos,32024,Weiblich
72,Porsche,Cayenne,128753,Männlich
36,Jeep,Grand Cherokee,41134,Männlich
77,Skoda,Kamiq,11143,Weiblich
26,Nissan,Qashqai,13955,Weiblich
78,Renault,Kadjar,8579,Männlich
34,Tesla,Model Y,69404,Männlich
51,Mazda,Mazda6,21798,Männlich
63,Peugeot,308,18433,Weiblich
72,Subaru,Impreza,17201,Weiblich
26,BMW Motorrad,R1250GS,13721,Weiblich
30,Skoda,Octavia,24011,Weiblich
43,Mazda,CX-5,29256,Männlich
64,Volvo,XC90,73220,Weiblich
26,Volvo,V90,34186,Männlich
49,Kia,Niro,26185,Weiblich
70,Subaru,Forester,14236,Männlich
50,Land Rover,Evoque,44456,Männlich
56,BMW Motorrad,R1200GS,6658,Weiblich
16,BMW,5er,119526,Weiblich
30,Porsche,Cayenne,152974,Männlich
20,Toyota,Corolla,12513,Männlich
47,Audi,Q8,21333,Männlich
43,Ford,Edge,15615,Männlich
73,Kia,Ceed,29942,Weiblich
59,Volkswagen,Sharan,68641,Männlich
54,Ford,Mondeo,13811,Weiblich
17,Honda,Jazz,29703,Weiblich
33,Porsche,Macan,132317,Männlich
55,BMW,X5,46872,Weiblich
77,Mercedes,S-Klasse,67098,Weiblich
37,Ford,Kuga,18099,Weiblich
59,Land Rover,Evoque,66998,Männlich
36,Mercedes,AMG GT,121152,Weiblich
35,Peugeot,Partner,22865,Männlich
67,Audi,R8,49014,Weiblich
66,Volvo,S60,17935,Weiblich
57,Mitsubishi,L200,37024,Weiblich
16,Alfa Romeo,MiTo,73358,Weiblich
38,Alfa Romeo,Giulietta,72560,Männlich
35,Jeep,Grand Cherokee,63952,Weiblich
44,Kia,Ceed,26042,Männlich
23,Volvo,V90,51939,Weiblich
30,BMW,4er,88425,Männlich
19,Hyundai,Tucson,25029,Männlich
69,Volkswagen,Arteon,27361,Männlich
41,Jeep,Renegade,30308,Männlich
68,Mitsubishi,L200,19464,Weiblich
45,Skoda,Kamiq,13503,Männlich
24,Kia,Seltos,32865,Weiblich
71,Toyota,C-HR,18140,Männlich
47,Ford,Mondeo,21789,Weiblich
30,Toyota,Corolla,48130,Männlich
32,BMW,1er,114573,Männlich
74,Citroen,C4,10518,Weiblich
43,Nissan,Leaf,34999,Weiblich
77,Ford,Kuga,22429,Weiblich
28,Ford,Kuga,10374,Männlich
59,Volkswagen,Arteon,48076,Weiblich
70,BMW Motorrad,F900R,13749,Weiblich
41,Volkswagen,Tiguan,48516,Männlich
55,Audi,A5,34157,Weiblich
35,Opel,Astra,25851,Weiblich
74,Volkswagen,Arteon,20271,Männlich
20,Volkswagen,Tiguan,44492,Männlich
36,BMW Motorrad,R1200GS,13869,Männlich
74,Mitsubishi,L200,13856,Weiblich
77,Peugeot,508,23529,Weiblich
28,Toyota,C-HR,14783,Weiblich
41,Volkswagen,ID.4,57667,Männlich
36,Skoda,Fabia,32590,Männlich
73,Nissan,Leaf,12576,Männlich
53,Peugeot,308,9392,Weiblich
71,Peugeot,5008,24313,Männlich
42,Subaru,Forester,17423,Weiblich
59,Nissan,Leaf,10094,Männlich
32,Mazda,Mazda3,31599,Weiblich
71,BMW,3er,87595,Männlich
25,Land Rover,Evoque,25658,Weiblich
74,Honda,HR-V,15916,Männlich
70,BMW,3er,85102,Männlich
69,Tesla,Model 3,61732,Weiblich
23,Hyundai,i10,33078,Männlich
75,Kia,Stonic,28754,Männlich
63,Citroen,C3,23791,Männlich
18,Ford,Kuga,35187,Männlich
19,Citroen,C5,23300,Männlich
53,Jeep,Compass,27754,Weiblich
44,Citroen,C3 Aircross,29764,Männlich
15,Volkswagen,Arteon,46610,Männlich
15,BMW,X6,28846,Weiblich
44,Volkswagen,ID.4,43323,Männlich
40,Peugeot,Partner,10235,Männlich
18,BMW Motorrad,R1250GS,20646,Weiblich
51,Audi,A7,107662,Männlich
54,Opel,Zafira,19511,Männlich
72,Nissan,X-Trail,40257,Weiblich
50,Skoda,Superb,26314,Männlich
24,Jeep,Wrangler,44248,Männlich
46,Volvo,V90,17322,Weiblich
23,Toyota,Camry,42918,Weiblich
77,Toyota,Corolla,52837,Männlich
35,Mazda,Mazda3,18341,Weiblich
33,Citroen,C4,23014,Männlich
39,Skoda,Superb,41108,Männlich
59,Jeep,Cherokee,16232,Weiblich
16,BMW Motorrad,R1200GS,7435,Weiblich
57,Volkswagen,Polo,21796,Weiblich
75,Honda,Jazz,14614,Weiblich
20,Opel,Grandland,15246,Weiblich
28,Jeep,Grand Cherokee,19551,Männlich
57,Mercedes,E-Klasse,62659,Weiblich
15,Ford,Edge,10803,Männlich
44,BMW,X5,53124,Weiblich
49,Honda,Jazz,32903,Männlich
76,Honda,Jazz,25256,Weiblich
19,Audi,TT,82725,Weiblich
78,Toyota,Camry,31163,Männlich
30,Mercedes,V-Klasse,51634,Männlich
71,Volkswagen,ID.3,26514,Männlich
20,Honda,Civic,28565,Weiblich
15,Honda,CR-V,14160,Männlich
53,BMW,3er,58759,Männlich
53,Tesla,Model Y,32766,Männlich
25,Porsche,Taycan,172743,Männlich
49,Porsche,Cayenne,102230,Männlich
74,Volvo,S60,73418,Weiblich
15,Opel,Mokka,29021,Männlich
48,Mitsubishi,Outlander,12586,Weiblich
22,Citroen,C4,28177,Weiblich
65,Subaru,Outback,15498,Weiblich
32,Opel,Astra,10295,Männlich
55,BMW Motorrad,F900R,10821,Männlich
28,Citroen,C3,15559,Weiblich
59,Volkswagen,Polo,27901,Männlich
28,Honda,Accord,28264,Männlich
79,Kia,Seltos,30146,Weiblich
19,Volvo,V90,39999,Weiblich
33,Kia,Rio,22352,Männlich
51,Volvo,XC90,48009,Männlich
51,Honda,Jazz,25649,Weiblich
20,Ford,Kuga,11449,Männlich
77,Audi,Q7,72274,Weiblich
49,Skoda,Kodiaq,10849,Männlich
79,Jeep,Compass,56414,Weiblich
62,Mitsubishi,Space Star,19483,Weiblich
65,BMW Motorrad,S1000RR,13720,Männlich
50,Mitsubishi,Outlander,17482,Weiblich
22,Renault,Megane,5770,Weiblich
42,Ford,Mondeo,17787,Weiblich
31,BMW Motorrad,F900R,24879,Männlich
36,Honda,HR-V,28069,Weiblich
73,Nissan,Micra,41244,Weiblich
79,Toyota,Land Cruiser,30154,Weiblich
69,Mazda,Mazda3,37926,Männlich
60,Skoda,Fabia,37051,Männlich
62,Citroen,C4,27044,Weiblich
60,Renault,Clio,31369,Weiblich
43,Hyundai,i10,41412,Männlich
74,Mercedes,C-Klasse,83745,Männlich
61,Mercedes,C-Klasse,75801,Weiblich
63,Land Rover,Evoque,39849,Männlich
60,Tesla,Model S,48432,Männlich
30,Jeep,Grand Cherokee,47168,Weiblich
69,Opel,Grandland,12763,Weiblich
43,BMW,i3,28971,Männlich
62,Land Rover,Evoque,58816,Weiblich
50,Audi,Q8,21205,Männlich
21,Jeep,Renegade,28426,Weiblich
28,Land Rover,Defender,33921,Männlich
22,Audi,Q5,105899,Weiblich
28,Mercedes,B-Klasse,24449,Männlich
76,Mitsubishi,L200,24859,Männlich
22,Jeep,Renegade,63859,Männlich
18,Toyota,Camry,29561,Männlich
16,Renault,Clio,12960,Männlich
39,Land Rover,Evoque,26305,Weiblich
53,Kia,Seltos,11366,Weiblich
38,Ford,Edge,15294,Männlich
53,Tesla,Model X,35355,Männlich
32,Citroen,C4,19962,Weiblich
56,Porsche,Cayenne,67244,Männlich
57,Tesla,Model S,79655,Männlich
15,Citroen,C5,29675,Weiblich
50,Hyundai,Nexo,36058,Männlich
16,Subaru,Forester,30771,Weiblich
22,Mitsubishi,ASX,12951,Weiblich
56,Citroen,C5 Aircross,19351,Männlich
35,Citroen,C4,10236,Männlich
34,Renault,Talisman,7816,Weiblich
45,Mitsubishi,Space Star,13911,Männlich
68,BMW Motorrad,S1000RR,15544,Weiblich
57,Kia,Seltos,16894,Weiblich
15,Subaru,XV,42684,Weiblich
34,Nissan,Qashqai,17328,Männlich
27,Honda,Accord,30615,Weiblich
52,Kia,Rio,8804,Männlich
58,Citroen,C3,16185,Männlich
35,Peugeot,5008,22177,Weiblich
56,Ford,Kuga,20112,Weiblich
54,BMW Motorrad,R1250GS,9553,Männlich
27,Ford,Mondeo,39464,Weiblich
48,Audi,R8,77000,Weiblich
71,Audi,A5,33403,Weiblich
65,Hyundai,Kona,15003,Weiblich
55,Volvo,XC90,57030,Männlich
57,Skoda,Superb,13890,Männlich
71,Kia,Stonic,36167,Männlich
42,BMW,5er,101380,Weiblich
50,Toyota,Land Cruiser,10041,Männlich
29,Porsche,Macan,134362,Männlich
76,Volkswagen,Sharan,20110,Weiblich
27,Audi,Q3,60304,Männlich
20,BMW,7er,89193,Männlich
57,Ford,Mustang,18918,Männlich
36,Hyundai,Nexo,23187,Weiblich
62,Ford,Fiesta,13464,Männlich
39,Nissan,Juke,32617,Männlich
51,Renault,Megane,17257,Weiblich
23,Ford,Kuga,32071,Weiblich
43,Volkswagen,Touareg,51788,Männlich
30,Alfa Romeo,Giulia,35494,Männlich
23,Kia,Stonic,36322,Männlich
16,Audi,A4,95810,Männlich
43,Land Rover,Evoque,67921,Männlich
18,Volkswagen,Golf,22558,Männlich
78,Subaru,XV,39107,Weiblich
66,Volvo,S60,75610,Männlich
56,Peugeot,308,19812,Männlich
67,Tesla,Model S,29728,Weiblich
33,Citroen,C3 Aircross,19690,Weiblich
78,Volkswagen,Tiguan,31949,Weiblich
38,BMW,i4,87080,Männlich
78,Peugeot,Partner,9673,Weiblich
25,Jeep,Renegade,17620,Weiblich
51,BMW,i3,35009,Männlich
31,BMW,i4,40862,Weiblich
42,Peugeot,308,15093,Weiblich
53,Volkswagen,Touareg,43477,Weiblich
73,Toyota,Corolla,10362,Weiblich
72,Ford,Focus,13565,Weiblich
21,Hyundai,i30,34294,Männlich
63,Toyota,Camry,47601,Weiblich
27,Peugeot,Partner,7147,Weiblich
57,Honda,CR-V,17368,Weiblich
44,Ford,Mustang,19492,Weiblich
28,Mitsubishi,L200,33033,Weiblich
57,Hyundai,Santa Fe,39898,Weiblich
46,Opel,Corsa,28667,Männlich
24,Honda,CR-V,27774,Männlich
67,BMW,5er,21622,Männlich
45,Land Rover,Defender,55620,Weiblich
62,Ford,Mustang,31973,Weiblich
57,Mazda,Mazda3,37836,Männlich
30,Ford,Mustang,33947,Weiblich
20,Opel,Corsa,17446,Weiblich
26,Audi,A5,22176,Weiblich
70,Audi,Q3,81447,Männlich
20,Mitsubishi,L200,12409,Weiblich
48,Volkswagen,Passat,17437,Männlich
37,BMW,1er,53631,Weiblich
78,Opel,Grandland,11680,Weiblich
42,Honda,CR-V,22664,Männlich
74,Toyota,Corolla,18346,Weiblich
62,Subaru,Impreza,29940,Weiblich
67,Porsche,Panamera,121173,Weiblich
23,Subaru,Forester,37148,Männlich
29,Land Rover,Evoque,107788,Männlich
62,Hyundai,i10,41701,Weiblich
80,Audi,Q3,92498,Weiblich
17,Toyota,RAV4,46380,Männlich
68,Tesla,Model S,68908,Männlich
60,Subaru,Impreza,15752,Weiblich
26,Toyota,Camry,47902,Männlich
78,Skoda,Superb,30165,Weiblich
67,Hyundai,Tucson,40792,Weiblich
46,Nissan,X-Trail,28045,Weiblich
20,Hyundai,Santa Fe,11224,Männlich
37,Skoda,Octavia,24281,Weiblich
17,Alfa Romeo,MiTo,59142,Männlich
31,Mercedes,C-Klasse,95796,Weiblich
20,Tesla,Model Y,38930,Männlich
39,Toyota,RAV4,16148,Männlich
55,Toyota,Camry,14178,Männlich
40,Alfa Romeo,Giulietta,18823,Weiblich
58,Citroen,C4,34496,Männlich
71,Skoda,Scala,39730,Männlich
51,Nissan,Micra,37584,Weiblich
37,Skoda,Scala,26263,Männlich
69,Renault,Koleos,25315,Weiblich
78,Kia,Seltos,44254,Weiblich
41,BMW,5er,77392,Weiblich
67,Kia,Rio,18880,Männlich
55,Volvo,XC60,73773,Männlich
57,Alfa Romeo,Giulietta,53723,Weiblich
78,Tesla,Model 3,51496,Weiblich
36,Land Rover,Range Rover,29104,Männlich
59,Volkswagen,Touareg,60143,Weiblich
66,Volvo,XC40,68356,Männlich
40,Opel,Corsa,15285,Weiblich
56,Alfa Romeo,Giulia,64744,Weiblich
24,Alfa Romeo,Stelvio,53768,Weiblich
49,Audi,TT,106100,Männlich
49,Nissan,X-Trail,18982,Männlich
32,Renault,Megane,5660,Weiblich
77,BMW Motorrad,R1250GS,22669,Männlich
78,Subaru,XV,15681,Männlich
23,Kia,Rio,25770,Männlich
65,Volvo,XC60,72569,Männlich
39,Volvo,XC60,47045,Männlich
45,Tesla,Model S,74880,Männlich
22,Peugeot,Partner,17705,Weiblich
19,Tesla,Model Y,43898,Männlich
45,Hyundai,Kona,32399,Weiblich
19,Hyundai,Santa Fe,25330,Weiblich
43,Renault,Captur,32779,Männlich
75,Porsche,Taycan,152555,Weiblich
72,Volkswagen,ID.4,52459,Männlich
27,Volkswagen,ID.3,14287,Weiblich
31,Peugeot,5008,20235,Weiblich
19,Porsche,911,70221,Weiblich
57,Opel,Zafira,19890,Weiblich
68,Jeep,Grand Cherokee,22037,Männlich
64,Skoda,Superb,23483,Weiblich
34,Kia,Niro,9726,Männlich
31,Mitsubishi,L200,31480,Weiblich
68,BMW Motorrad,F900R,19310,Männlich
31,Renault,Kadjar,18313,Weiblich
40,BMW Motorrad,R1250GS,5101,Männlich
34,Mazda,CX-5,16740,Männlich
37,BMW,i4,93459,Männlich
15,Nissan,X-Trail,37483,Männlich
73,Tesla,Model 3,63114,Männlich
29,Jeep,Renegade,36633,Weiblich
28,Volkswagen,Touran,43943,Männlich
80,Ford,Edge,13518,Männlich
74,Hyundai,Tucson,38254,Weiblich
38,Volvo,V90,66032,Männlich
58,Renault,Kadjar,21873,Männlich
62,Porsche,Taycan,167234,Männlich
56,Tesla,Model Y,73238,Männlich
41,Subaru,Forester,18502,Weiblich
67,Land Rover,Defender,95682,Weiblich
80,Mercedes,GLC,115297,Männlich
40,Toyota,Yaris,34190,Weiblich
25,Jeep,Grand Cherokee,39181,Weiblich
58,Alfa Romeo,Stelvio,48479,Weiblich
37,Audi,TT,91940,Weiblich
20,Nissan,Qashqai,21868,Weiblich
65,Mercedes,A-Klasse,78523,Männlich
56,Kia,Sportage,30477,Weiblich
17,Skoda,Kamiq,33733,Männlich
60,Jeep,Compass,38018,Männlich
71,Tesla,Model S,28442,Weiblich
23,Skoda,Scala,10405,Männlich
44,Audi,Q8,52864,Weiblich
24,Toyota,Land Cruiser,34989,Männlich
46,Hyundai,i20,13106,Männlich
29,Citroen,C5,10417,Weiblich
44,Volvo,XC40,51148,Männlich
34,BMW Motorrad,R1250GS,24380,Männlich
22,Hyundai,i30,26145,Männlich
76,Volvo,V90,19641,Weiblich
73,Peugeot,208,24867,Weiblich
76,Audi,A5,91692,Weiblich
44,Subaru,XV,36279,Weiblich
63,Honda,Accord,10078,Weiblich
55,Volkswagen,Polo,43860,Männlich
18,Mazda,Mazda3,15887,Männlich
20,Peugeot,208,26102,Männlich
25,Citroen,C5 Aircross,20246,Weiblich
38,Volkswagen,Sharan,31642,Weiblich
60,Opel,Grandland,12948,Weiblich
29,Tesla,Model X,54572,Männlich
49,Citroen,C3 Aircross,15598,Weiblich
